GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jee6divelog,net.bryansaunders.jee6divelog.security.enums,Role,9,29,0,0,0,3,2,2,2,2
jee6divelog,net.bryansaunders.jee6divelog.security.enums,Permission,9,19,0,0,0,2,2,2,2,2
jee6divelog,net.bryansaunders.jee6divelog.service,UserAccountService,4,79,0,0,2,21,0,3,0,3
jee6divelog,net.bryansaunders.jee6divelog.security.filters,AuthenticationFilter,37,0,4,0,12,0,6,0,4,0
jee6divelog,net.bryansaunders.jee6divelog.dao.user,UserAccountDao,0,17,0,0,0,5,0,2,0,2
jee6divelog,net.bryansaunders.jee6divelog.validation,FieldMatchValidator,13,95,2,6,4,20,2,9,0,7
jee6divelog,net.bryansaunders.jee6divelog.validation,PasswordValidator,0,38,0,2,0,11,0,4,0,3
jee6divelog,net.bryansaunders.jee6divelog.utils,Resources,0,3,0,0,0,1,0,1,0,1
jee6divelog,net.bryansaunders.jee6divelog.utils,HashUtils,3,13,0,0,2,3,1,3,1,3
jee6divelog,net.bryansaunders.jee6divelog.utils,SecurityUtils,3,8,0,0,2,3,1,1,1,1
jee6divelog,net.bryansaunders.jee6divelog.dao,GenericDaoImpl,4,336,0,30,2,60,1,27,1,12
jee6divelog,net.bryansaunders.jee6divelog.security,Identity,3,169,2,6,1,47,3,18,1,16
jee6divelog,net.bryansaunders.jee6divelog.security,Credentials,0,66,0,0,0,14,0,6,0,6
jee6divelog,net.bryansaunders.jee6divelog.model,UserAccount,0,52,0,0,0,22,0,15,0,15
jee6divelog,net.bryansaunders.jee6divelog.model,DiveLogEntity,0,17,0,0,0,7,0,5,0,5
jee6divelog,net.bryansaunders.jee6divelog.beans,RegistrationBean,13,97,0,2,4,40,0,21,0,20
jee6divelog,net.bryansaunders.jee6divelog.beans,LoginBean,0,79,0,2,0,28,0,13,0,12
